"Aggregated Date/Time","Variable","Depth","Site Name","Latitude","Longitude","mean","median","p5","p95","lowest","highest"
2010-12-01T00:00,"omega_ar","-0.5","site 1","-21.15193","149.22053",2.644363927804189,2.6707126688722105,2.4034172299848064,2.957637368340861,2.1474659957134627,3.0000000000000004
2010-12-01T00:00,"omega_ar","-0.5","site 2","-21.32601","149.54041",2.930422877389522,2.909615634716918,2.842910848616024,3.0696418483196393,2.821842109355388,3.0870312699147404
2010-12-01T00:00,"omega_ar","-0.5","site 3","-21.48707","149.92826",3.092423453512453,3.0868826164246435,3.0020883708815274,3.156277606082753,2.9916162265688833,3.160673386599375
2010-12-01T00:00,"omega_ar","-0.5","site 4","-21.57511","150.32262",3.369782587424041,3.3885984510910467,3.2844748044266825,3.4599183206399484,2.9999999999999996,3.4664647484017848
2010-12-01T00:00,"omega_ar","-0.5","site 5","-21.54577","150.99697",3.5110817169307738,3.5768118833955183,3.325082103617858,3.614927853078933,3.0000000000000004,3.616522311411332
2010-12-01T00:00,"omega_ar","-23.75","site 1","-21.15193","149.22053",no data,no data,no data,no data,no data,no data
2010-12-01T00:00,"omega_ar","-23.75","site 2","-21.32601","149.54041",no data,no data,no data,no data,no data,no data
2010-12-01T00:00,"omega_ar","-23.75","site 3","-21.48707","149.92826",no data,no data,no data,no data,no data,no data
2010-12-01T00:00,"omega_ar","-23.75","site 4","-21.57511","150.32262",3.3462140588863583,3.3588698420482217,3.291920104402972,3.4383403933906496,2.9999999999999996,3.443739286943694
2010-12-01T00:00,"omega_ar","-23.75","site 5","-21.54577","150.99697",3.389753931329469,3.4903458103420055,3.009464772175438,3.571237375981097,3.0000000000000004,3.571644327299877
2010-12-01T00:00,"omega_ar","-8.8","site 1","-21.15193","149.22053",no data,no data,no data,no data,no data,no data
2010-12-01T00:00,"omega_ar","-8.8","site 2","-21.32601","149.54041",2.924513328024862,2.905512739220463,2.8286257749702446,3.067054880768141,2.8122823215252084,3.0775390802954266
2010-12-01T00:00,"omega_ar","-8.8","site 3","-21.48707","149.92826",3.0922026716098516,3.0913194189862057,3.0000000000000004,3.157391428403564,2.9906616327787736,3.1615472719740243
2010-12-01T00:00,"omega_ar","-8.8","site 4","-21.57511","150.32262",3.3554557678306263,3.3677745544661493,3.2724418781614153,3.4492544443302453,2.9999999999999996,3.458364936348558
2010-12-01T00:00,"omega_ar","-8.8","site 5","-21.54577","150.99697",3.4956065423575455,3.572331595951476,3.3237150207000723,3.6013035519324883,3.0000000000000004,3.602049009406746
2010-12-01T00:00,"PH","-0.5","site 1","-21.15193","149.22053",7.986105815286293,7.97367857771231,7.960136520769196,8.027939244813787,7.958126123874476,8.092246788092934
2010-12-01T00:00,"PH","-0.5","site 2","-21.32601","149.54041",7.963367968849991,7.964328774356117,7.941140729817918,7.979842400524562,7.9386488656832945,8.0
2010-12-01T00:00,"PH","-0.5","site 3","-21.48707","149.92826",7.985218531669431,7.986487893226623,7.972161190177505,7.993150745542658,7.971603988060564,8.0
2010-12-01T00:00,"PH","-0.5","site 4","-21.57511","150.32262",8.020479439226044,8.023144083070305,8.001340620401157,8.037749769539605,8.0,8.041781807516102
2010-12-01T00:00,"PH","-0.5","site 5","-21.54577","150.99697",8.03021272842786,8.029953966408312,8.010740438117136,8.042738962138975,8.0,8.052758897490522
2010-12-01T00:00,"PH","-23.75","site 1","-21.15193","149.22053",no data,no data,no data,no data,no data,no data
2010-12-01T00:00,"PH","-23.75","site 2","-21.32601","149.54041",no data,no data,no data,no data,no data,no data
2010-12-01T00:00,"PH","-23.75","site 3","-21.48707","149.92826",no data,no data,no data,no data,no data,no data
2010-12-01T00:00,"PH","-23.75","site 4","-21.57511","150.32262",8.022236261416476,8.022262943732615,8.012722242117183,8.036984742125297,8.0,8.037474349302695
2010-12-01T00:00,"PH","-23.75","site 5","-21.54577","150.99697",8.023459399425603,8.034675860635337,7.976761704141887,8.050305229538264,7.967761951164797,8.052157854510893
2010-12-01T00:00,"PH","-8.8","site 1","-21.15193","149.22053",no data,no data,no data,no data,no data,no data
2010-12-01T00:00,"PH","-8.8","site 2","-21.32601","149.54041",7.965535868451996,7.96419405173039,7.955399114373787,7.979155085572114,7.9548669030857075,8.0
2010-12-01T00:00,"PH","-8.8","site 3","-21.48707","149.92826",7.986448209877797,7.987039580664084,7.978406534632284,7.993513837752142,7.976360076746838,8.0
2010-12-01T00:00,"PH","-8.8","site 4","-21.57511","150.32262",8.022878201914265,8.023026800246475,8.010755701887259,8.03860071002253,8.0,8.039912830305903
2010-12-01T00:00,"PH","-8.8","site 5","-21.54577","150.99697",8.034033534412563,8.037425344580294,8.013399676088063,8.047739588403964,8.0,8.053464095265024
2010-12-01T00:00,"Dust","-0.5","site 1","-21.15193","149.22053",0.003599021604714195,0.002421815207158766,9.70733483551718E-4,0.009360481403205459,2.0647705215394446E-4,0.010786121713693628
2010-12-01T00:00,"Dust","-0.5","site 2","-21.32601","149.54041",1.36603350251956E-4,1.0184874645990137E-4,7.869905865776553E-5,4.4675385740429853E-4,7.6774668774187E-5,4.559982484315717E-4
2010-12-01T00:00,"Dust","-0.5","site 3","-21.48707","149.92826",7.155405347559435E-5,6.924441027557786E-5,5.584953797421115E-5,8.971375355425792E-5,5.2898267388160415E-5,9.2675085127788E-5
2010-12-01T00:00,"Dust","-0.5","site 4","-21.57511","150.32262",4.2178626294903446E-5,4.0500628263889076E-5,2.4973524992511167E-5,6.295715810321117E-5,2.45433428105955E-5,6.718634478599866E-5
